---config@码表分类=主码-系统码表
---config@码表别名= 系统词库
啊	a
兴师动众	xudv
浒	xudw
溆	xudy
凶神恶煞	xueu
相视而笑	xuex
续费	xuf
须发	xufa
小试锋芒	xufm
虚浮	xufu
续费	xufw
序	xug
序	xugl
虚构	xugz
虚	xuh
序号	xuhc
续航	xuhh
虚汗	xuhj
小事化了	xuhl
虚火	xuho
虚幻	xuhr
蓄洪	xuhs
虚	xuhy
徐	xui
兴衰成败	xuib
许昌	xuih
畜产	xuij
细水长流	xuil
续传	xuir
旭	xuj
续集	xuji
洗手间	xujm
旭	xujo
续借	xujp
许久	xujq
酗酒	xujq
雪上加霜	xuju
虚假	xujx
嘘	xuk
许可	xuke
虚空	xuks
虚夸	xukx
吁	xuky
序列	xul
序列	xulp
显山露水	xulu
绪论	xuly
栩	xum
虚名	xumk
序幕	xumu
须眉	xumw
栩	xumx
蓄谋	xumz
婿	xun
虚拟	xuni
销声匿迹	xunj
信手拈来	xunl
许诺	xuno
息事宁人	xunr
絮	xunx
煦	xuo
煦	xuoh
盱	xuoy
须	xup
续聘	xupb
袖手旁观	xupg
虚胖	xuph
续篇	xupm
须	xupr
许配	xupw
显示器	xuq
西沙群岛	xuqd
仙山琼阁	xuqg
显示器	xuqi
续签	xuqm
需求	xuqq
序曲	xuqu
叙	xur
旭日	xuri
虚弱	xuro
虚荣	xurs
叙	xury
续	xus
续	xusd
绪	xuso
虚岁	xusv
墟	xut
叙谈	xutj
虚脱	xuto
圩	xuty
虚实	xuu
虚设	xuue
现身说法	xuuf
嘘声	xuug
蓄势	xuui
叙说	xuuo
叙述	xuuu
蓄水	xuuv
胥	xuv
须知	xuvi
胥	xuvo
徐州	xuvz
畜	xuw
戌	xuwa
序文	xuwf
虚妄	xuwh
畜	xuwt
虚无	xuwu
虚伪	xuww
兴师问罪	xuwz
恤	xux
虚心	xuxb
嘘唏	xuxi
相生相克	xuxk
虚线	xuxm
徐徐	xuxu
许下	xuxx
许	xuy
需要	xuyc
需	xuye
蓄养	xuyh
蓄意	xuyi
序言	xuyj
酗	xuyk
许愿	xuyr
需用	xuys
续约	xuyt
须臾	xuyu
小事一桩	xuyv
许	xuyw
诩	xuyx
修身养性	xuyx
虚增	xuz
虚增	xuzg
行尸走肉	xuzr
续租	xuzu
心中	xv
兴致勃勃	xvbb
心照不宣	xvbx
心知肚明	xvdm
西装革履	xvgl
瞎指挥	xvh
瞎指挥	xvhv
相知恨晚	xvhw
先斩后奏	xvhz
心直口快	xvkk
血债累累	xvll
细枝末节	xvmj
闲着没事	xvmu
雪中送炭	xvst
虚张声势	xvuu
寻章摘句	xvvj
项庄舞剑	xvwj
削职为民	xvwm
象征性	xvx
血债血还	xvxh
先知先觉	xvxj
象征性	xvxk
笑逐颜开	xvyk
晓之以理	xvyl
行之有年	xvyn
心中有数	xvyu
行之有效	xvyx
希望	xw
胸无点墨	xwdm
胸无大志	xwdv
心无二用	xwey
兴旺发达	xwfd
秀外慧中	xwhv
胸无城府	xwif
显微镜	xwj
显微镜	xwjk
小巫见大巫	xwjw
喜闻乐见	xwlj
细微末节	xwmj
虚无缥缈	xwpm
心无旁骛	xwpw
鲜为人知	xwrv
兴味索然	xwsr
学无止境	xwvj
弦外之音	xwvy
衔尾相随	xwxs
夏威夷	xwy
虚位以待	xwyd
夏威夷	xwyi
心无杂念	xwzn
下	xx
学习	xx
夏	xxa
下	xxab
狭隘	xxai
夏	xxaw
下班	xxb
下巴	xxba
雄心勃勃	xxbb
瞎掰	xxbd
下笔	xxbi
下班	xxbj
凶相毕露	xxbl
下边	xxbm
下标	xxbn
下部	xxbu
瑕疵	xxc
瞎猜	xxcd
下策	xxce
下层	xxcg
下次	xxci
下跌	xxd
下达	xxda
吓到	xxdc
许许多多	xxdd
吓得	xxde
下等	xxdg
熊熊大火	xxdh
下单	xxdj
下定	xxdk
下跌	xxdp
下端	xxdr
下肚	xxdu
馨香祷祝	xxdv
峡	xxe
下颚	xxee
峡	xxej
罅	xxf
下发	xxfa
下风	xxfg
下方	xxfh
下凡	xxfj
下浮	xxfu
新鲜感	xxg
瞎搞	xxgc
下个	xxge
下岗	xxgh
新鲜感	xxgj
霞光	xxgl
洗心革面	xxgm
峡谷	xxgu
下跪	xxgv
黠	xxh
下海	xxhd
下颌	xxhe
嘻嘻哈哈	xxhh
吓坏	xxhk
吓唬	xxhu
下回	xxhv
瞎话	xxhx
夏侯	xxhz
虾	xxi
下车	xxie
瞎扯	xxie
下沉	xxif
下乘	xxig
下场	xxih
辖	xxik
下床	xxil
下厨	xxiu
下垂	xxiv
厦	xxiw
虾	xxix
下级	xxj
夏季	xxji
相形见绌	xxji
循序渐进	xxjj
下降	xxjl
下贱	xxjm
下脚	xxjn
下届	xxjp
下酒	xxjq
下句	xxju
下家	xxjx
吓	xxk
下课	xxke
匣	xxkj
呷	xxkj
辛辛苦苦	xxkk
下框	xxkl
吓哭	xxku
吓	xxkx
想象力	xxl
下拉	xxla
下来	xxld
下了	xxle
心血来潮	xxli
下令	xxlk
淅淅沥沥	xxll
下联	xxlm
下落	xxlo
下列	xxlp
下流	xxlq
侠侣	xxlv
下楼	xxlz
瞎忙	xxm
下马	xxma
厦门	xxmf
瞎蒙	xxmg
瞎忙	xxmh
虾米	xxmi
下面	xxmm
谢谢你	xxn
瞎闹	xxnc
谢谢你	xxni
嬉笑怒骂	xxnm
瞎弄	xxns
侠女	xxnv
瞎	xxo
瞎	xxok
暇	xxoy
下排	xxp
吓怕	xxpa
吓跑	xxpc
下排	xxpd
下盘	xxpj
下坡	xxpo
下铺	xxpu
狭	xxq
下棋	xxqi
狎	xxqj
下去	xxqu
侠	xxr
吓人	xxrf
夏日	xxri
侠	xxrj
欣喜若狂	xxrk
选贤任能	xxrn
熙熙攘攘	xxrr
栩栩如生	xxru
吓死	xxs
吓死	xxsi
形形色色	xxss
潇潇洒洒	xxss
夏天	xxt
下榻	xxta
下套	xxtc
下台	xxtd
下探	xxtj
夏天	xxtm
下调	xxtn
下图	xxtu
吓退	xxtv
下头	xxtz
硖	xxu
下设	xxue
下身	xxuf
小学生	xxug
心想事成	xxui
下山	xxuj
瞎说	xxuo
先下手为强	xxuq
下属	xxuu
虚虚实实	xxuu
下水	xxuv
循循善诱	xxuy
下手	xxuz
狭窄	xxvd
星星之火	xxvh
下肢	xxvi
夏装	xxvl
下种	xxvs
下注	xxvu
下坠	xxvv
雄心壮志	xxvv
行侠仗义	xxvy
下周	xxvz
瑕	xxw
夏娃	xxwa
下文	xxwf
下午	xxwu
心向往之	xxwv
瑕	xxwy
象形文字	xxwz
笑嘻嘻	xxx
息息相关	xxxg
罅隙	xxxi
下行	xxxk
遐想	xxxl
下线	xxxm
狭小	xxxn
瞎写	xxxp
欣欣向荣	xxxr
下雪	xxxt
心胸狭窄	xxxv
惺惺相惜	xxxx
下旬	xxxy
心心相印	xxxy
霞	xxy
虚席以待	xxyd
下页	xxye
狭义	xxyi
喜新厌旧	xxyj
喜笑颜开	xxyk
喜形于色	xxys
下月	xxyt
下雨	xxyu
修心养性	xxyx
小心翼翼	xxyy
香消玉殒	xxyy
下游	xxyz
遐	xxz
下载	xxzd
瞎子	xxzi
下作	xxzo
惺惺作态	xxzt
遐	xxzy
需要	xy
鲟	xya
鲟	xyac
旬	xyb
寻宝	xybc
郇	xybe
心有不甘	xybg
形影不离	xybl
窨	xybo
下一步	xybu
薰	xyc
荨	xycc
薰	xych
荀	xyco
殉	xyd
浔	xydc
鲜艳夺目	xydm
洵	xydo
汛	xydu
浚	xydw
寻	xye
寻	xyec
峋	xyeo
向隅而泣	xyeq
洗衣粉	xyf
洗衣粉	xyff
寻访	xyfh
降妖伏魔	xyfm
驯服	xyfu
逍遥法外	xyfw
下一个	xyg
下一个	xyge
殉国	xygo
血缘关系	xygx
下一回	xyh
讯号	xyhc
巡航	xyhh
循环	xyhr
巡回	xyhv
训话	xyhx
循	xyi
巡查	xyia
心悦诚服	xyif
寻常	xyih
训斥	xyii
徇	xyio
相映成趣	xyiq
胸有成竹	xyiv
相沿成习	xyix
洗衣机	xyj
悬崖绝壁	xyjb
迅即	xyji
巡警	xyjk
迅捷	xyjp
勋爵	xyjt
勋	xyk
勋	xykl
吸引力	xyl
巡礼	xyli
训练	xylm
巡逻	xylo
心有灵犀一点通	xylt
行云流水	xylu
迅雷	xylw
心有灵犀	xylx
驯	xym
迅猛	xymg
寻觅	xymi
硝烟弥漫	xymm
殉难	xyn
殉难	xynj
心痒难挠	xynn
熏	xyp
熏	xyph
汹涌澎湃	xypp
寻亲	xyqb
汛期	xyqi
寻求	xyqq
寻人	xyr
寻人	xyrf
熏染	xyrj
熏肉	xyrz
巽	xys
巽	xysb
逊色	xyse
寻思	xysi
迅速	xysu
闲言碎语	xysy
埙	xyt
熏陶	xytc
吓一跳	xytn
埙	xytr
下意识	xyu
巡视	xyui
休养生息	xyux
驯兽	xyuz
寻找	xyv
寻找	xyvc
勋章	xyvh
殉职	xyvi
巡展	xyvj
学以致用	xyvy
询问	xywf
习以为常	xywi
相依为命	xywm
信以为真	xywv
羞与为伍	xyww
虚与委蛇	xywy
恂	xyx
寻衅	xyxb
形影相吊	xyxd
血雨腥风	xyxf
熏香	xyxl
恂	xyxo
形影相随	xyxs
循序	xyxu
夕阳西下	xyxx
闲言闲语	xyxy
讯	xyy
醺	xyy
闲云野鹤	xyyh
训	xyyi
心有余悸	xyyj
心猿意马	xyym
询	xyyo
讯	xyyu
心有余而力不足	xyyz
迅	xyz
兴妖作怪	xyzg
殉葬	xyzh
寻租	xyzu
巡	xyzv
逊	xyzx
逍遥自在	xyzz
现在	xz
选择	xz
心脏病	xzb
行踪不定	xzbd
心脏病	xzbk
下自成蹊	xzix
写字间	xzj
写字间	xzjm
写字楼	xzl
幸灾乐祸	xzlh
写字楼	xzlz
寻踪觅迹	xzmj
瞎子摸象	xzmx
协奏曲	xzq
协奏曲	xzqu
闲杂人等	xzrd
惜字如金	xzrj
削足适履	xzul
心醉神迷	xzum
孝子贤孙	xzxs
雄姿英发	xzyf
一	y
亚	ya
牙	yaa
牙	yaap
亚	yaay
丫	yab
哑巴	yaba
押宝	yabc
丫	yabl
压扁	yabm
芽	yac
芽	yacy
涯	yad
压倒	yadc
亚当	yadh
压低	yadi
鸭蛋	yadj
雅典	yadm
压断	yadr
涯	yadt
崖	yae
崖	yaet
押	yaf
牙缝	yafg
押	yafj
揠	yafn
压服	yafu
牙膏	yag
牙膏	yagc
雅阁	yage
压根	yagf
雅观	yagr
牙垢	yagz
雅虎	yah
雅号	yahc
哑火	yaho
丫环	yahr
雅虎	yahu
雅黑	yahw
压	yai
衙	yai
压	yaid
押车	yaie
牙齿	yaii
牙床	yail
蚜虫	yais
轧	yaiv
蚜	yaiy
鸭	yaj
押金	yajb
鸭	yajn
押解	yajp
哑剧	yaju
压价	yajx
亚军	yajy
呀	yak
吖	yak
牙科	yake
有案可查	yaki
押款	yakr
哑	yaky
牙口	yakz
压力	yal
压力	yali
哑铃	yalk
雅量	yall
亚麻	yama
衙门	yamf
哑谜	yami
娅	yan
衙内	yanw
娅	yany
压迫	yap
哑炮	yapc
鸦片	yapm
压迫	yapo
氩	yaq
牙签	yaqm
雅趣	yaqu
氩	yaqy
伢	yar
雅人	yarf
哑然	yarj
鸭绒	yars
伢	yary
压缩	yas
压缩	yaso
押送	yass
雅俗	yasu
压碎	yasv
垭	yat
亚太	yatd
牙疼	yatg
牙痛	yats
垭	yaty
丫头	yatz
鸭舌	yaue
雅士	yaui
牙刷	yaux
亚洲	yav
压榨	yava
压着	yave
压阵	yavf
压制	yavi
压住	yavu
亚洲	yavz
压弯	yaw
押往	yawh
压弯	yawj
雅兴	yax
雅兴	yaxk
牙线	yaxm
雅	yay
讶	yay
牙龈	yayb
雅	yayf
又爱又恨	yayh
压抑	yayi
鸦	yayn
亚于	yayu
押韵	yayy
鸭子	yazi
雅座	yazo
因	yb
阴暗	yba
阴暗	yban
瘾	ybb
眼巴巴	ybba
寅	ybbb
以不变应万变	ybbb
引爆	ybbc
银白	ybbd
夜不闭户	ybbh
隐蔽	ybbi
音标	ybbn
欲罢不能	ybbn
窨	ybbo
一病不起	ybbq
衣不蔽体	ybbt
一步步	ybbu
瘾	ybbx
荫	ybc
茵	ybcd
隐藏	ybch
因此	ybci
荫	ybco
淫	ybd
引导	ybdc
引得	ybde
淫荡	ybdh
阴蒂	ybdi
音调	ybdn
阴跌	ybdp
淫	ybdr
引动	ybds
一步登天	ybdt
印度	ybdu
一步到位	ybdw
引逗	ybdz
阴	ybe
掩鼻而过	ybeg
阴	ybeo
因而	yber
隐	ybex
一部分	ybf
引发	ybfa
一部分	ybff
阴风	ybfg
月白风清	ybfq
音符	ybfu
引	ybg
银根	ybgf
银光	ybgl
因果	ybgo
夜不归宿	ybgs
因故	ybgu
一笔勾销	ybgx
阴沟	ybgz
隐晦	ybh
引号	ybhc
银河	ybhe
银行	ybhh
隐含	ybhj
烟波浩渺	ybhm
引火	ybho
隐患	ybhr
淫秽	ybhv
印花	ybhx
阴魂	ybhy
蚓	ybi
饮茶	ybia
印钞	ybic
银钗	ybid
阴沉	ybif
言必称	ybig
吟唱	ybih
引产	ybij
哑巴吃黄连	ybil
银川	ybir
引出	ybiu
阴唇	ybiy
银	ybj
引进	ybjb
铟	ybjd
眼不见，心不烦	ybjf
银	ybjg
印记	ybji
眼不见为净	ybjj
阴茎	ybjk
由表及里	ybjl
引荐	ybjm
音节	ybjp
饮酒	ybjq
隐居	ybju
言不及义	ybjy
吟	ybk
引开	ybkd
遥不可及	ybkj
喑	ybko
一鼻孔出气	ybkq
吟	ybkv
音	ybl
引来	ybld
淫乐	yble
阴冷	yblg
阴历	ybli
引领	yblk
音量	ybll
银联	yblm
饮料	ybln
音	yblo
淫乱	yblr
一不留神	yblu
音律	yblv
音码	ybma
阴霾	ybmd
隐秘	ybmi
隐瞒	ybmj
银幕	ybmu
阴谋	ybmz
姻	ybn
姻	ybnd
鄞	ybne
印尼	ybni
夜不能寐	ybnm
印	ybp
音频	ybpb
银牌	ybpd
印	ybpe
银屏	ybpk
银票	ybpn
胤	ybpv
殷	ybpy
殷勤	ybqb
氤	ybqd
引起	ybqi
引擎	ybqk
殷切	ybqp
养兵千日	ybqr
隐去	ybqu
要不然	ybr
义不容辞	ybrc
隐忍	ybrf
印染	ybrj
原班人马	ybrm
引入	ybru
用兵如神	ybru
阴柔	ybrz
因素	ybs
银色	ybse
阴森	ybsf
夜半三更	ybsg
隐私	ybsi
吟诵	ybss
因素	ybsu
一波三折	ybsv
阴损	ybsy
垠	ybt
一败涂地	ybtd
垠	ybtg
印堂	ybth
阴天	ybtm
隐痛	ybts
隐退	ybtv
饮	ybu
隐身	ybuf
饮食	ybui
饮	ybur
引述	ybuu
饮水	ybuv
印刷	ybux
尹	ybv
龈	ybv
用不着	ybvc
阴宅	ybvd
印着	ybve
银针	ybvf
印证	ybvg
印章	ybvh
印制	ybvi
一本正经	ybvj
一臂之力	ybvl
尹	ybvp
玉不琢，不成器	ybvq
隐衷	ybvs
因为	ybw
引文	ybwf
有备无患	ybwh
一本万利	ybwl
余波未平	ybwp
因为	ybww
音信	ybxb
言必信，行必果	ybxg
隐形	ybxk
印象	ybxl
阴险	ybxm
音效	ybxn
淫亵	ybxp
鹬蚌相争	ybxv
一不小心	ybxx
音讯	ybxy
一步一步	ybyb
要不要	ybyc
阴阳	ybyh
音译	ybyi
引言	ybyj
阴影	ybyk
亦步亦趋	ybyq
姻缘	ybyr
饮用	ybys
引用	ybys
音乐	ybyt
阴雨	ybyu
言不由衷	ybyv
愿不愿意	ybyy
引诱	ybyz
一辈子	ybz
银子	ybzi
淫贼	ybzw
一不做，二不休	ybzx
有鼻子有眼	ybzy
要	yc
尧	yca
要隘	ycai
要案	ycan
尧	ycaw
窑	ycb
腰包	ycbc
摇摆	ycbd
窑	ycbf
腰板	ycbj
窈	ycbl
腰部	ycbu
药	ycc
药草	yccc
药材	yccd
药	yccu
要道	ycd
要道	ycdc
腰带	ycdd
要得	ycde
阴曹地府	ycdf
摇荡	ycdh
要地	ycdi
咬定	ycdk
要点	ycdm
咬掉	ycdn
咬断	ycdr
摇动	ycds
以词定字	ycdz
一蹴而就	ycej
幺儿	ycer
摇	ycf
药粉	ycff
药方	ycfh
要犯	ycfj
药费	ycfw
药膏	ycgc
一寸光阴一寸金	ycgj
妖怪	ycgk
药罐	ycgr
腰鼓	ycgu
摇滚	ycgy
要好	ych
要好	ychc
要害	ychd
吆喝	yche
摇晃	ychl
要回	ychv
药厂	ycih
瑶池	ycii
谣传	ycir
钥	ycj
要紧	ycjb
有错就改	ycjg
药剂	ycji
妖精	ycjk
腰间	ycjm
钥	ycjo
药酒	ycjq
要诀	ycjt
要价	ycjx
咬	yck
要看	yckj
要快	yckk
遥控	ycks
咬	yckx
吆	ycky
原材料	ycl
要来	ycld
摇篮	yclj
要领	yclk
要脸	yclm
原材料	ycln
以此类推	yclt
摇橹	yclu
杳	ycm
要么	ycme
要命	ycmk
药棉	ycmm
妖魔	ycmo
妖媚	ycmw
妖	ycn
姚	ycnd
妖孽	ycnp
妖女	ycnv
妖	ycny
腰	yco
曜	ycof
腰	ycon
夭	ycp
药品	ycpb
乐	ycpd
舀	ycpj
药瓶	ycpk
药片	ycpm
鹞	ycpn
咬破	ycpo
邀请	ycq
妖气	ycqi
邀请	ycqk
要强	ycql
要钱	ycqm
要求	ycqq
侥	ycr
妖娆	ycrc
要人	ycrf
要让	ycrh
侥	ycrw
约	ycs
要塞	ycsd
要死	ycsi
腰酸	ycsr
要素	ycsu
摇头	yct
腰疼	yctg
窈窕	yctn
腰痛	ycts
腰腿	yctv
摇头	yctz
要是	ycu
腰身	ycuf
咬伤	ycuh
钥匙	ycui
因材施教	ycuj
要说	ycuo
妖术	ycuu
药水	ycuv
尧舜	ycuy
幺	ycv
夭折	ycve
要账	ycvh
幺	ycvs
咬住	ycvu
腰椎	ycvv
瑶	ycw
要闻	ycwf
遥望	ycwh
药丸	ycwj
药物	ycwu
腰围	ycww
耀	ycx
耀	ycxf
药性	ycxk
遥想	ycxl
药效	ycxn
肴	ycxo
要挟	ycxp
爻	ycxx
谣	ycy
咬牙	ycya
药引	ycyb
摇摇	ycyc
药业	ycye
谣	ycyf
阴错阳差	ycyi
谣言	ycyj
鹞鹰	ycyk
一草一木	ycym
淫词艳曲	ycyq
遥远	ycyr
要用	ycys
要约	ycyt
摇匀	ycyy
要有	ycyz
邀	ycz
药皂	yczc
遥	yczf
瑶族	yczu
邀	yczw
一定	yd
印第安	yda
印第安	ydan
一大半	ydb
一动不动	ydbd
一大半	ydbj
言多必失	ydbu
以德报怨	ydby
一点点	ydd
以点带面	yddm
易地而处	ydei
远道而来	ydel
一顿饭	ydf
雨打风吹	ydfi
一顿饭	ydfj
一代风流	ydfl
云淡风轻	ydfq
有的放矢	ydfu
以毒攻毒	ydgd
一段话	ydh
一段话	ydhx
焉得虎子	ydhz
远渡重洋	ydiy
一等奖	ydj
一等奖	ydjl
一大截	ydjp
意大利	ydl
一刀两断	ydld
意大利	ydli
雅典娜	ydn
雅典娜	ydna
一刀切	ydq
一刀切	ydqp
以大欺小	ydqx
有的人	ydr
一代人	ydrf
亚的斯亚贝巴	ydsb
约定俗成	ydsi
有待商榷	yduq
诱敌深入	ydur
用得着	ydv
用得着	ydvc
因地制宜	ydvy
异端邪说	ydxu
印度洋	ydy
一点也不	ydyb
一点一滴	ydyd
印度洋	ydyh
有点意思	ydys
一大早	ydz
一大早	ydzc
一肚子气	ydzq
也	ye
页	yea
页	year
爷	yeb
也罢	yeba
爷	yebe
夜班	yebj
也别	yebp
也不	yebu
野草	yec
野草	yecc
野菜	yecd
也曾	yecg
页次	yeci
野餐	yecj
液	yed
夜大	yeda
野地	yedi
冶	yedk
掩耳盗铃	yedl
以耳代目	yedm
液	yedn
也得	yedw
也都	yedz
耶	yee
耶	yeee
揶	yef
揶	yefe
养儿防老	yefl
掖	yefn
也该	yeg
也该	yegd
也敢	yegj
也怪	yegk
夜光	yegl
野果	yego
夜归	yegv
野狗	yegz
烨	yeh
也好	yehc
也还	yehd
也很	yehf
野火	yeho
夜壶	yehu
也会	yehv
野花	yehx
靥	yei
夜叉	yeia
以讹传讹	yeie
夜场	yeih
靥	yeim
野炊	yeiv
冶金	yejb
业绩	yeji
液晶	yejk
夜间	yejm
页脚	yejn
业界	yejp
也就	yejq
叶	yek
噎	yeka
咽	yekd
也可	yeke
也看	yekj
也快	yekk
嘢	yekl
夜空	yeks
叶	yeku
业	yel
业	yela
也来	yeld
夜里	yeli
野	yell
冶炼	yelm
曳	yelp
耶鲁	yelu
耶律	yelv
椰	yem
野马	yema
野猫	yemc
椰	yeme
也门	yemf
夜盲	yemh
野蛮	yemj
页面	yemm
夜幕	yemu
页眉	yemw
也难	yen
也能	yeng
也难	yenj
野牛	yenq
业内	yenw
腋	yeo
腋	yeon
晔	yeou
叶片	yep
叶片	yepm
野人	yer
野人	yerf
椰蓉	yers
也算	yes
夜色	yese
也算	yesr
耶稣	yesu
爷孙	yesy
液态	yet
液态	yetd
液体	yeti
也挺	yetk
野兔	yetu
也是	yeu
野生	yeug
也是	yeui
页数	yeuu
野兽	yeuz
也	yev
业者	yeve
野战	yevj
野种	yevs
业主	yevu
也	yevv
夜	yew
野外	yewd
夜晚	yewj
夜	yewn
腋窝	yewo
业务	yewu
言而无信	yewx
也许	yex
野心	yexb
夜袭	yexi
也行	yexk
也想	yexl
夜宵	yexn
也许	yexu
腋下	yexx
邺	yey
液压	yeya
也要	yeyc
爷爷	yeye
业已	yeyi
夜宴	yeyj
野营	yeyk
幼儿园	yeyr
也用	yeys
业余	yeyu
谒	yeyv
言而有信	yeyx
也有	yeyz
叶子	yez
叶子	yezi
一而再，再而三	yezs
缘分	yf
以防不测	yfbc
原封不动	yfbd
艳福不浅	yfbq
一发不可收	yfbu
有法必依	yfby
一夫当关	yfdg
一帆风顺	yffu
一分货	yfh
一分货	yfho
引风吹火	yfih
一飞冲天	yfit
一反常态	yfit
有法可依	yfky
有凤来仪	yfly
一方面	yfm
一方面	yfmm
吟风弄月	yfny
一分钱	yfq
一分钱一分货	yfqh
一发千钧	yfqj
一分钱	yfqm
亦复如是	yfru
严防死守	yfsu
约法三章	yfsv
有福同享	yftx
义愤填膺	yfty
一分钟	yfv
一分钟	yfvs
一分为二	yfwe
以防万一	yfwy
依附于	yfy
愚夫愚妇	yfyf
一分一秒	yfym
应付裕如	yfyr
移风易俗	yfys
依附于	yfyu
阳奉阴违	yfyw
吟风咏月	yfyy
应付自如	yfzr
应该	yg
雁过拔毛	ygbm
一官半职	ygbv
一个巴掌拍不响	ygbx
因果报应	ygby
阳关大道	ygdd
一个顶俩	ygdl
有感而发	ygef
一干二净	ygej
一概而论	ygel
鱼贯而入	yger
仰观俯察	ygfi
以古非今	ygfj
一个个	ygg
一个个	ygge
叶公好龙	yghl
以观后效	yghx
衣冠楚楚	ygii
一个劲	ygj
一根筋	ygjb
英格兰	ygl
英格兰	yglj
一个萝卜一个坑	yglk
眼观六路	ygll
雁过留声	yglu
一国两制	yglv
欲盖弥彰	ygmv
一股脑儿	ygne
荧光屏	ygp
荧光屏	ygpk
衣冠禽兽	ygq
言过其实	ygqu
衣冠禽兽	ygqu
一个人	ygr
艺高人胆大	ygrd
一个人	ygrf
勇冠三军	ygsj
眼观四路	ygsl
雨过天晴	ygtq
异国他乡	ygtx
眼高手低	ygud
一个世纪	yguj
一个钟	ygv
有过之而无不及	ygvj
一个钟	ygvs
倚官仗势	ygvu
言归正传	ygvv
以攻为守	ygwu
一个小时	ygxu
一个月	ygy
眼高于顶	ygyd
言归于好	ygyh
有根有据	ygyj
忧国忧民	ygym
一个月	ygyt
愚公移山	ygyu
莺歌燕舞	ygyw
一个字	ygz
一个字	ygzi
一鼓作气	ygzq
一棍子打死	ygzs
裕固族	ygzu
样	yh
痒	yhb
样本	yhbf
样板	yhbj
养病	yhbk
羊	yhbl
扬鞭	yhbm
疡	yhbp
阴魂不散	yhbs
烟花爆竹	yhbv
一呼百应	yhby
洋葱	yhc
洋财	yhcd
洋葱	yhcs
洋	yhd
漾	yhd
养大	yhda
玉皇大帝	yhdd
因祸得福	yhdf
银河倒泻	yhdx
泱	yhdy
殃	yhdy
阳	yhe
一挥而就	yhej
阳	yheo
一会儿	yher
一哄而散	yhes
扬	yhf
养分	yhff
月黑风高	yhfg
洋房	yhfh
扬帆	yhfj
扬	yhfp
羊羔	yhgc
秧歌	yhge
引吭高歌	yhgg
阳刚	yhgh
阳光	yhgl
阳关	yhgr
养狗	yhgz
秧	yhh
央行	yhhh
养活	yhho
炀	yhhp
有话好说	yhhu
氧化	yhhx
烊	yhhy
徉	yhi
洋车	yhie
养成	yhig
雨后春笋	yhis
阳春	yhiy
养鸡	yhji
移花接木	yhjm
钖	yhjp
洋酒	yhjq
阳具	yhju
养家	yhjx
严寒酷暑	yhku
央	yhl
养老	yhlc
仰赖	yhld
阳历	yhli
眼花缭乱	yhll
养料	yhln
依葫芦画瓢	yhlp
杨柳	yhlq
烟花柳巷	yhlx
杨	yhm
羊毛	yhmc
扬名	yhmk
仰面	yhmm
秧苗	yhmn
与虎谋皮	yhmp
仰慕	yhmu
杨梅	yhmw
样	yhmy
羊奶	yhn
羊奶	yhnd
欲壑难填	yhnt
养女	yhnv
样品	yhp
样品	yhpb
洋炮	yhpc
羊皮	yhpi
阳平	yhpk
样片	yhpm
氧	yhq
氧气	yhqi
洋枪	yhql
央求	yhqq
迂回曲折	yhqv
羊群	yhqy
仰	yhr
仰	yhre
洋人	yhrf
羊绒	yhrs
佯	yhry
羊肉	yhrz
阳台	yht
阳台	yhtd
仰头	yhtz
一回事	yhu
养身	yhuf
养生	yhug
养伤	yhuh
样式	yhui
野火烧不尽	yhuj
阳朔	yhuo
引火烧身	yhuu
与会者	yhv
阳宅	yhvd
养着	yhve
仰仗	yhvh
养殖	yhvi
佯装	yhvl
养猪	yhvu
扬州	yhvz
洋文	yhwf
仰望	yhwh
仰卧	yhwo
贻害无穷	yhwq
洋务	yhwu
阳痿	yhww
有害无益	yhwy
怏	yhx
异乎寻常	yhxi
阳性	yhxk
洋相	yhxl
阳线	yhxm
怏	yhxy
养	yhy
样样	yhyh
洋溢	yhyi
养眼	yhyj
养	yhyl
鸯	yhyn
仰泳	yhys
养育	yhyu
恙	yhyx
样子	yhz
样子	yhzi
炎黄子孙	yhzs
洋罪	yhzv
以	yi
弋	yia
一	yiaa
弋	yiad
夷	yian
益	yib
肄	yib
一把	yiba
宜宾	yibb
一成不变	yibb
医保	yibc
一百	yibd
扬长避短	yibd
一本	yibf
一帮	yibh
一笔	yibi
一般	yibj
一并	yibk
一遍	yibm
仪表	yibn
衣钵	yibo
一别	yibp
宜	yibq
疑	yibr
一尘不染	yibr
一步	yibu
一倍	yibw
阳春白雪	yibx
疫	yiby
痍	yiby
艺	yic
臆测	yice
一层	yicg
一次	yici
一餐	yicj
依从	yics
一簇	yicu
艺	yicv
艾	yicx
薏	yicx
荑	yicy
溢	yid
漪	yid
殪	yida
一道	yidc
一代	yidd
医德	yide
一等	yidg
一挡	yidh
异地	yidi
一旦	yidj
沂	yidj
一定	yidk
一点	yidm
一朵	yido
一段	yidr
移动	yids
一度	yidu
一堆	yidv
义	yidx
一锤定音	yidy
屹	yie
一差二错	yiec
峄	yiel
屹	yieq
嶷	yier
抑	yif
依法	yifa
挹	yifb
揖	yife
一份	yiff
乙方	yifh
一番	yifj
旖	yifk
衣服	yifu
依附	yifu
已非	yifw
一个	yig
译稿	yigc
一概	yigd
一个	yige
一根	yigf
乙肝	yigj
异国	yigo
一贯	yigr
一共	yigs
已故	yigu
衣柜	yigv
